rate,year,sex,drugname,totpop,totdeath,stderr,glower,gupper
0.8048624169,2004,F,CITALOPRAM,3113248,26,0.1587769472,0.5243022595,1.1901018756
0.8391743231,2004,M,CITALOPRAM,3095267,27,0.1623855964,0.5516228938,1.2519388817
0.8193149264,2004,T,CITALOPRAM,6208515,53,0.113014548,0.6129236492,1.0783924489
1.5843939064,2004,F,COCAINE,3113248,50,0.2249948994,1.1744071896,2.097788017
3.5343772869,2004,M,COCAINE,3095267,115,0.3309847161,2.9154966346,4.2696548251
2.556651966,2004,T,COCAINE,6208515,165,0.1998491203,2.1799543991,2.9846136318
0.4739497957,2004,F,DIAZEPAM,3113248,15,0.1231301476,0.2641759178,0.7919773364
1.2044139063,2004,M,DIAZEPAM,3095267,39,0.1932357517,0.8558391099,1.6749132501
0.8430354014,2004,T,DIAZEPAM,6208515,54,0.1150917961,0.6326890915,1.1062374743
1.184805836,2004,F,DIPHENHYDRAMINE,3113248,38,0.1934424904,0.8364037341,1.6368873848
0.8935072367,2004,M,DIPHENHYDRAMINE,3095267,29,0.1664192219,0.5976013507,1.3134539444
1.0406669617,2004,T,DIPHENHYDRAMINE,6208515,67,0.1277049031,0.8055265487,1.3282554902
0.4203024973,2004,F,HEROIN,3113248,14,0.1124866791,0.2295611753,0.7168614472
1.2927798057,2004,M,HEROIN,3095267,42,0.2000086552,0.9308468989,1.7760785804
0.8603018491,2004,T,HEROIN,6208515,56,0.1152770912,0.649328898,1.123627682
0.726851207,2004,F,HYDROCODONE,3113248,23,0.1523185871,0.4595881933,1.1002439725
0.9627898271,2004,M,HYDROCODONE,3095267,31,0.1736618975,0.6529823619,1.3966104664
0.8386092528,2004,T,HYDROCODONE,6208515,54,0.1145265541,0.6293012764,1.100655037
3.1011164381,2004,F,METHADONE,3113248,99,0.3129031331,2.518265769,3.7850036958
4.8930897316,2004,M,METHADONE,3095267,158,0.3905894974,4.1574932533,5.7442525656
4.0056647519,2004,T,METHADONE,6208515,257,0.2507066844,3.5293152391,4.5330176351
0.923095926,2004,F,METHAMPHETAMINE,3113248,28,0.1749846041,0.6125411552,1.3409889517
1.77516021,2004,M,METHAMPHETAMINE,3095267,56,0.2381402593,1.3393673312,2.3321504983
1.3505013001,2004,T,METHAMPHETAMINE,6208515,84,0.1478641769,1.0763174854,1.6776955501
0.6792640891,2004,F,MORPHINE,3113248,22,0.1454109132,0.4247836159,1.0388227401
1.4427311543,2004,M,MORPHINE,3095267,47,0.2111657368,1.0588569922,1.9472263496
1.0654217661,2004,T,MORPHINE,6208515,69,0.1287995731,0.8280342076,1.3550430773
0.7438286909,2004,F,OPIATE,3113248,24,0.1525479889,0.4754749717,1.1171298003
1.609596438,2004,M,OPIATE,3095267,52,0.2241530986,1.2005335348,2.1391554975
1.1782380491,2004,T,OPIATE,6208515,76,0.1357997093,0.9271953279,1.4815124163
1.0720108166,2004,F,OXYCODONE,3113248,35,0.1822806771,0.7449429072,1.5020808571
1.6773753074,2004,M,OXYCODONE,3095267,54,0.2290146038,1.2588216268,2.2162802706
1.375151232,2004,T,OXYCODONE,6208515,89,0.14636316,1.1033119082,1.6988784217
0.4324701878,2005,F,ACETAMINOPHEN,3157558,14,0.1166042043,0.2349839832,0.7374650039
0.3464064221,2005,M,ACETAMINOPHEN,3141258,11,0.1049558502,0.1722359735,0.6499963162
0.3913428181,2005,T,ACETAMINOPHEN,6298816,25,0.0788260513,0.2523859166,0.58468193
1.1541424918,2005,F,ALCOHOL,3157558,38,0.1884937005,0.8146628518,1.5957198528
3.4750930205,2005,M,ALCOHOL,3141258,115,0.3259251154,2.865718016,4.196964947
2.316479768,2005,T,ALCOHOL,6298816,153,0.188267643,1.9621811207,2.721311859
0.4435410851,2005,F,ALPRAZOLAM,3157558,15,0.1154356476,0.2469306922,0.7452371093
0.4293175061,2005,M,ALPRAZOLAM,3141258,14,0.115222445,0.2340257476,0.7505790961
0.4374785232,2005,T,ALPRAZOLAM,6298816,29,0.0817119737,0.2922315641,0.6358023511
0.7986231583,2005,F,AMITRIPTYLINE,3157558,27,0.1548612312,0.5244586811,1.1749935654
1.0250078563,2005,M,AMITRIPTYLINE,3141258,34,0.176741781,0.7083011429,1.4600125043
0.9132611478,2005,T,AMITRIPTYLINE,6298816,61,0.1176822307,0.697288924,1.1807174216
0.8200483314,2005,F,CITALOPRAM,3157558,27,0.158988078,0.5385723341,1.2049816529
0.7749897687,2005,M,CITALOPRAM,3141258,26,0.1528814716,0.5048464818,1.164869392
0.8004765047,2005,T,CITALOPRAM,6298816,53,0.1106056145,0.5985104538,1.0543542094
1.0406802977,2005,F,COCAINE,3157558,34,0.1796269915,0.7188350665,1.4653752445
3.77065271,2005,M,COCAINE,3141258,124,0.3403353606,3.1331615279,4.5206250425
2.4159210287,2005,T,COCAINE,6298816,158,0.1932915471,2.0519297813,2.8307021292
0.6620973966,2005,F,DIAZEPAM,3157558,22,0.1421230496,0.4134548373,1.014582251
0.939873157,2005,M,DIAZEPAM,3141258,31,0.1694710376,0.6375317088,1.361223893
0.8032018634,2005,T,DIAZEPAM,6298816,53,0.1108898671,0.6007041436,1.0576521246
1.2363583801,2005,F,DIPHENHYDRAMINE,3157558,40,0.1970741812,0.8806551643,1.6950278658
1.0252122201,2005,M,DIPHENHYDRAMINE,3141258,33,0.1791635435,0.7045829095,1.4655192275
1.1350926281,2005,T,DIPHENHYDRAMINE,6298816,73,0.1336681989,0.888319575,1.4340466599
0.3754363818,2005,F,HEROIN,3157558,12,0.1096062524,0.1923064257,0.6677661697
1.3680627087,2005,M,HEROIN,3141258,46,0.2026804333,0.9999732522,1.8519420215
0.8749082347,2005,T,HEROIN,6298816,58,0.1156532711,0.6630401405,1.1385484884
0.845655406,2005,F,HYDROCODONE,3157558,28,0.161144771,0.5598236558,1.2346185332
1.1363958645,2005,M,HYDROCODONE,3141258,37,0.1883476513,0.7976342901,1.5940365761
0.9944504638,2005,T,HYDROCODONE,6298816,65,0.1241832297,0.766059213,1.2748007024
3.3466342088,2005,F,METHADONE,3157558,108,0.3240855056,2.7416654552,4.051898461
4.831536734,2005,M,METHADONE,3141258,161,0.3825821681,4.1107820399,5.6632270445
4.0958574861,2005,T,METHADONE,6298816,269,0.2511589316,3.6183405749,4.6235932656
0.5517719555,2005,F,METHAMPHETAMINE,3157558,18,0.1306368263,0.3261476688,0.8828091294
2.166174138,2005,M,METHAMPHETAMINE,3141258,72,0.2561660171,1.6933758723,2.7528797717
1.366173111,2005,T,METHAMPHETAMINE,6298816,90,0.1445880216,1.0975456356,1.6859444087
0.7798446064,2005,F,MORPHINE,3157558,27,0.1509487364,0.5125540226,1.1480603143
1.2564653512,2005,M,MORPHINE,3141258,41,0.1977292513,0.899180159,1.731862866
