rate,year,sex,drugname,totpop,totdeath,stderr,glower,gupper
0.8592267413,2009,M,DIAZEPAM,3330741,30,0.1587614078,0.5767011435,1.2513950348
0.9137690099,2009,T,DIAZEPAM,6672159,64,0.115924215,0.7007946926,1.1769742293
1.0296736971,2009,F,DIPHENHYDRAMINE,3341418,36,0.1742990361,0.7167949658,1.4419938774
0.5359686071,2009,M,DIPHENHYDRAMINE,3330741,19,0.1243553506,0.3205953739,0.8632502084
0.7822579179,2009,T,DIPHENHYDRAMINE,6672159,55,0.1069035117,0.5868915992,1.0279404433
0.428309442,2009,F,HEROIN,3341418,15,0.1114798139,0.2384388527,0.7207997057
1.6516187342,2009,M,HEROIN,3330741,57,0.2206443538,1.2477211615,2.1621940281
1.0490168994,2009,T,HEROIN,6672159,72,0.1247476955,0.8188549029,1.3294264879
1.2005239904,2009,F,HYDROCODONE,3341418,44,0.1838677023,0.8675149782,1.6300863863
1.11341333,2009,M,HYDROCODONE,3330741,38,0.1832715783,0.783573515,1.552910581
1.1529210277,2009,T,HYDROCODONE,6672159,82,0.1292739438,0.9135441846,1.4418042841
3.4100235404,2009,F,METHADONE,3341418,114,0.3242685991,2.8041590617,4.1144268283
4.5256884664,2009,M,METHADONE,3330741,157,0.3650814724,3.8384311239,5.3162926708
3.9773288227,2009,T,METHADONE,6672159,271,0.2446739124,3.512188192,4.4916856159
0.9205569502,2009,F,METHAMPHETAMINE,3341418,31,0.1677467939,0.6216126638,1.3212006354
2.1570764526,2009,M,METHAMPHETAMINE,3330741,74,0.2539049072,1.6883140841,2.7321993231
1.5437625467,2009,T,METHAMPHETAMINE,6672159,105,0.1527669574,1.2589099722,1.8788552424
1.4195142953,2009,F,MORPHINE,3341418,53,0.1981893166,1.057903531,1.8762537619
1.5743592585,2009,M,MORPHINE,3330741,55,0.2152007715,1.1810861135,2.0744068281
1.5032057836,2009,T,MORPHINE,6672159,108,0.1467312069,1.2294143713,1.8258401844
0.6067136034,2009,F,OPIATE,3341418,21,0.1348736555,0.3717961586,0.9440772539
1.3456734618,2009,M,OPIATE,3330741,47,0.1984570659,0.9851213587,1.8134413426
0.9796265703,2009,T,OPIATE,6672159,68,0.1204562517,0.7578622775,1.251699372
2.5247949986,2009,F,OXYCODONE,3341418,89,0.2723513413,2.0193426336,3.126800826
2.3478923341,2009,M,OXYCODONE,3330741,81,0.2636894138,1.8596651606,2.9417015434
2.4429511304,2009,T,OXYCODONE,6672159,170,0.1899409662,2.0848523766,2.8501619065
0.8018107558,2010,F,ACETAMINOPHEN,3374833,28,0.154941833,0.527399208,1.1777569873
0.6536368217,2010,M,ACETAMINOPHEN,3349707,21,0.1439390885,0.4026253997,1.0187936035
0.7255708431,2010,T,ACETAMINOPHEN,6724540,49,0.1053376878,0.5339554601,0.9685400234
1.6671466,2010,F,ALCOHOL,3374833,57,0.2246759965,1.256129891,2.1777400022
3.6538710662,2010,M,ALCOHOL,3349707,129,0.3261370241,3.0426564297,4.3675801351
2.6620108277,2010,T,ALCOHOL,6724540,186,0.1981240776,2.2878441212,3.084914518
1.009656616,2010,F,ALPRAZOLAM,3374833,36,0.1709264863,0.702834525,1.4153694414
1.1955137922,2010,M,ALPRAZOLAM,3349707,42,0.1862071854,0.8587490574,1.6386640951
1.1064893118,2010,T,ALPRAZOLAM,6724540,78,0.1267767975,0.8720416522,1.3902791595
0.513669647,2010,F,AMITRIPTYLINE,3374833,19,0.1202453825,0.3056670706,0.8222984114
0.3912360566,2010,M,AMITRIPTYLINE,3349707,13,0.1097744836,0.206547289,0.692123427
0.4555240514,2010,T,AMITRIPTYLINE,6724540,32,0.0819531249,0.3092841146,0.6530581568
1.109626153,2010,F,CITALOPRAM,3374833,38,0.183196926,0.7800110669,1.5400597379
0.8368130029,2010,M,CITALOPRAM,3349707,30,0.1548118414,0.5613514928,1.219915706
0.9740994797,2010,T,CITALOPRAM,6724540,68,0.1200360758,0.7531402722,1.2450595977
0.6397988564,2010,F,COCAINE,3374833,22,0.1388852154,0.3971604523,0.9853085543
1.5741303153,2010,M,COCAINE,3349707,54,0.2171349164,1.1775910106,2.0774738942
1.1088640387,2010,T,COCAINE,6724540,76,0.129165924,0.8702408187,1.3977544041
0.7503973099,2010,F,DIAZEPAM,3374833,27,0.146662703,0.4909739111,1.1094646428
0.878423305,2010,M,DIAZEPAM,3349707,31,0.1597717372,0.593637308,1.2712755572
0.8176762955,2010,T,DIAZEPAM,6724540,58,0.1089419501,0.6182153625,1.066923053
0.978750181,2010,F,DIPHENHYDRAMINE,3374833,32,0.1747300853,0.6667134232,1.3937067606
0.6752711683,2010,M,DIPHENHYDRAMINE,3349707,24,0.139958801,0.4293709105,1.0307025595
0.8253903234,2010,T,DIPHENHYDRAMINE,6724540,56,0.1117801586,0.6209754937,1.0806748364
0.562316625,2010,F,HEROIN,3374833,19,0.1299936599,0.3370670001,0.8908836001
1.6501351439,2010,M,HEROIN,3349707,57,0.2210580722,1.2455613282,2.1607357005
1.1110846651,2010,T,HEROIN,6724540,76,0.1288648427,0.8729537776,1.3993014017
1.0683971887,2010,F,HYDROCODONE,3374833,38,0.1766218012,0.7506505374,1.4852762338
0.7485616988,2010,M,HYDROCODONE,3349707,25,0.1513885401,0.4818136708,1.1268698903
0.908695351,2010,T,HYDROCODONE,6724540,63,0.1161666062,0.6953875519,1.1722137408
2.7188201393,2010,F,METHADONE,3374833,95,0.2839949054,2.1908069528,3.3440463556
4.1068180086,2010,M,METHADONE,3349707,146,0.3440101118,3.4602646372,4.8550286769
3.4154797772,2010,T,METHADONE,6724540,241,0.2232420268,2.9919134476,3.8872884036
0.9795264906,2010,F,METHAMPHETAMINE,3374833,32,0.175247402,0.6666337345,1.3956146192
1.7745580804,2010,M,METHAMPHETAMINE,3349707,62,0.2280980709,1.3558766178,2.298466443
1.3776685166,2010,T,METHAMPHETAMINE,6724540,94,0.143929781,1.1100718472,1.6952314373
1.2914351282,2010,F,MORPHINE,3374833,46,0.1927020169,0.9416711974,1.7388871741
1.4093800017,2010,M,MORPHINE,3349707,51,0.1998234271,1.0452161163,1.8780226032
1.3544941061,2010,T,MORPHINE,6724540,97,0.1390597987,1.0957052995,1.6619063863
0.3404615486,2010,F,OPIATE,3374833,12,0.0993979498,0.1743883202,0.610948103
0.850479424,2010,M,OPIATE,3349707,30,0.1570491399,0.5709831354,1.2381232665
0.5969823985,2010,T,OPIATE,6724540,42,0.0931810495,0.4284907175,0.8158719098
1.8706935964,2010,F,OXYCODONE,3374833,67,0.2335227472,1.4412007166,2.3974305312
2.4023537095,2010,M,OXYCODONE,3349707,85,0.2633961309,1.9139790134,2.9940841891
2.1458225819,2010,T,OXYCODONE,6724540,152,0.1767457932,1.8133951074,2.5268521378
